"SEX","EDATTAIN","EMPSTAT","AGE"
1,2,2,29
1,1,2,17
1,2,2,32
1,1,4,69
2,1,1,8
2,2,4,27
1,1,1,8
2,2,2,20
1,1,4,12
2,3,2,30
2,1,1,1
1,2,4,17
2,1,1,9
2,1,4,11
2,1,1,3
1,1,2,38
2,1,1,9
2,2,4,57
1,1,1,0
2,2,4,55
1,2,2,38
2,1,2,83
2,2,4,31
2,2,2,33
1,1,1,8
1,2,4,15
1,1,4,12
2,2,2,22
1,1,2,36
2,2,3,21
2,1,4,10
1,2,2,27
2,4,2,20
2,1,4,47
2,1,1,7
2,1,4,10
2,2,2,29
2,2,4,20
1,1,4,10
1,1,1,8
1,2,2,30
1,2,2,28
2,2,2,40
1,2,2,43
1,2,4,14
1,1,4,12
1,1,4,53
2,1,4,12
1,3,2,32
1,1,4,83
1,1,2,29
2,2,2,22
2,5,2,43
2,5,2,20
2,2,4,40
1,4,2,22
2,1,4,60
2,2,4,44
1,2,3,23
2,2,4,14
2,1,4,77
2,2,2,36
1,1,1,3
1,1,4,11
1,2,3,18
2,1,1,3
2,4,2,36
1,1,4,44
1,2,2,47
1,4,2,34
2,1,4,19
2,1,4,52
2,2,4,15
2,2,4,15
2,1,4,58
2,3,2,27
2,2,3,18
1,1,2,45
2,1,1,4
2,2,4,13
1,2,2,26
1,1,1,3
2,1,1,9
1,1,1,2
1,1,2,57
2,1,1,0
2,2,2,27
2,2,4,15
1,2,2,44
2,1,4,50
2,2,4,16
2,2,2,35
1,2,2,45
2,2,4,28
2,2,4,27
2,1,4,10
2,2,4,14
2,2,4,14
2,4,2,35
2,2,4,15
2,2,4,50
1,1,2,32
2,1,4,25
2,2,4,14
1,1,1,4
1,1,2,40
2,4,4,20
1,4,2,36
1,2,4,13
1,1,1,5
2,3,2,27
2,1,4,69
1,2,4,16
2,5,2,24
1,2,2,51
1,1,1,3
2,2,4,20
1,2,4,82
1,1,2,73
2,2,2,48
2,1,4,10
2,2,4,34
1,2,2,41
1,1,1,0
1,5,2,33
2,1,1,4
2,2,4,16
1,1,1,7
1,1,4,15
1,2,2,27
1,1,1,8
2,2,4,39
2,2,2,29
1,2,2,31
1,1,1,0
2,2,4,15
2,1,4,65
1,2,2,29
1,2,4,13
2,1,1,1
1,2,2,23
2,2,4,45
1,5,2,64
1,1,2,42
2,2,4,13
2,1,4,11
1,2,2,31
1,2,2,30
1,2,2,44
2,2,2,34
2,1,4,12
2,2,4,15
1,2,2,43
1,1,1,1
1,1,2,36
1,1,4,10
1,2,2,44
2,1,4,12
2,2,4,15
2,2,4,14
1,2,2,19
1,2,2,48
2,4,2,33
2,1,1,0
2,1,2,31
1,1,2,50
1,1,2,43
2,2,4,16
1,1,1,5
1,2,2,29
1,2,4,13
2,1,1,8
1,2,2,35
1,2,2,42
2,2,2,18
2,1,2,39
1,2,2,41
2,2,4,56
2,1,1,8
2,1,1,9
1,2,4,15
1,1,1,8
1,2,2,25
2,2,4,34
1,2,2,22
1,1,2,41
1,2,4,60
1,2,4,15
2,2,4,35
2,2,4,17
2,1,1,7
1,1,4,56
1,1,1,8
2,1,4,11
2,2,4,18
1,1,2,22
2,1,4,47
1,2,2,42
1,1,4,10
1,2,2,23
2,1,1,7
1,2,2,20
1,3,4,17
2,1,4,10
1,5,2,44
1,2,2,32
1,4,4,19
1,1,4,10
1,1,1,1
2,2,2,20
2,2,4,17
2,2,4,25
2,2,2,51
2,2,4,15
2,1,1,1
2,1,1,9
2,2,2,19
2,3,2,19
2,1,4,10
1,1,2,40
1,4,4,19
1,2,2,38
1,4,2,52
2,2,2,44
1,1,4,12
1,4,2,22
1,1,2,30
1,1,1,6
1,1,2,39
1,2,2,33
2,4,2,32
